Date,Longitude [degrees_east],Latitude [degrees_north],Temperature [degC]
1994-03-25,-5.916333252,53.64823112,6.933214092
1994-03-28,-6.113300982,52.80052656,7.766956169
1994-03-29,-6.710545069,52.15004112,8.649608239
1994-05-04,-7.772017313,51.87651687,8.552973815
1994-06-04,-9.837170823,52.02513627,8.586422425
1994-07-04,-9.14852837,53.21430699,7.503700441
1994-04-18,-9.13946787,53.21400651,9.094453467
1994-04-19,-9.687687216,53.18827723,9.053506565
1994-04-20,-10.01463824,53.15209829,9.092013161
1994-04-21,-9.330773599,53.17764597,8.810346069
1994-04-22,-9.966698612,53.52330753,8.484310972
1994-04-23,-9.550287813,54.36011877,8.274464286
1994-04-25,-8.352111165,54.55856715,8.336213434
1994-04-26,-8.419980359,54.60451707,8.463856209
1994-04-27,-8.400294896,54.52748713,8.357246617
1994-04-28,-8.406605958,54.53155626,8.686916133
1994-04-29,-9.766557225,54.18114848,8.71652891
1994-04-30,-9.603916487,53.23820263,9.374836283
1994-03-05,-9.127906898,53.21127607,10.30332941
1994-05-13,-10.02271962,52.35491848,10.30990665
1994-05-14,-9.695333413,51.43933886,10.17346027
1994-05-15,-9.689347119,51.34837348,10.5924445
1994-05-17,-9.81756389,51.24435358,10.9924575
1994-05-18,-8.444587429,51.59269453,10.82962854
1994-05-19,-7.026940208,52.26166111,11.64533333
1994-05-21,-6.469886606,52.28235828,10.28578329
1994-05-22,-6.009567828,53.02856724,9.573845272
1994-05-23,-5.829812416,53.52821029,9.2298464
1994-05-24,-5.693465078,53.70885612,8.93449246
1994-05-25,-6.064695018,53.41576462,10.05499391
1994-05-26,-5.835646792,53.46580411,9.514732143
1994-05-27,-6.009312137,53.33184465,10.01513557
1994-05-28,-5.876305904,53.59470635,10.29714875
1994-05-29,-5.769234793,53.86577094,9.950426095
1994-05-30,-5.951792861,53.88054562,10.0563786
1994-01-06,-5.806809919,53.61123969,10.72623819
1994-02-06,-5.825108439,53.57301715,10.7790701
1994-04-06,-5.819457003,53.62464986,9.945174567
1994-05-06,-5.817482771,53.57913994,10.25294599
1994-06-06,-5.817189782,53.60306703,10.11757032
1994-07-06,-5.817386386,53.56498169,10.44862816
1994-06-15,-5.783162264,53.50493612,11.37605945
1994-06-16,-5.705842286,53.56074244,11.06770566
1994-06-17,-5.621956699,53.6179273,11.33218401
1994-06-18,-5.86935879,53.63022898,11.08122437
1994-06-19,-5.861289923,53.7717687,11.34788318
1994-06-20,-6.040088099,53.65555964,11.81994703
1994-06-22,-5.97272672,53.82360675,11.14364415
1994-06-23,-5.473059765,53.95226831,10.90778798
1994-06-25,-6.515160414,52.42379686,12.5539198
1994-06-26,-8.065151509,51.79061294,11.56713134
1994-06-27,-9.527302501,51.58637819,11.64896055
1994-06-28,-10.63535959,52.07157039,12.51274247
1994-06-29,-10.62294512,52.21007018,12.93415229
1994-06-30,-10.49836201,52.32621819,13.05158724
1994-01-07,-10.10434007,52.55711856,13.51485733
1994-02-07,-10.13137673,52.68311045,13.32928592
1994-03-07,-9.34132949,53.18258531,13.89123273
1994-12-07,-9.324222185,53.17365511,15.34752301
1994-07-13,-9.709025371,52.83758798,14.77502914
1994-07-14,-10.24767504,52.23887013,13.53001269
1994-07-15,-10.31763021,52.06019195,14.77731026
1994-07-16,-10.23318618,51.78450408,14.78886253
1994-07-17,-9.803227088,51.62445325,16.44860453
1994-07-18,-9.734151785,51.49466842,14.15102689
1994-07-19,-9.454629358,51.42656138,14.52727714
1994-07-20,-8.814534378,51.53181851,15.17655172
1994-07-21,-8.557435571,51.62459886,15.21588109
1994-07-22,-7.863233753,51.86923889,15.65412056
1994-07-23,-6.930194274,51.89739886,15.96272679
1994-07-24,-6.602421909,52.03648429,14.23875781
1994-07-25,-6.985186702,52.23491278,16.13896084
