Date,Lon,Lat,Temperature
11/04/1982,-9.5,54.67,8.6
11/04/1982,-9.82,54.55,9.3
11/04/1982,-10.32,54.5,9.1
11/04/1982,-10.18,54.37,9.3
11/04/1982,-10.4,54.27,9.3
11/04/1982,-10.78,54.25,10
11/04/1982,-11.2,54.23,10
12/04/1982,-11.17,53.67,10.1
12/04/1982,-10.95,53.87,10.1
12/04/1982,-10.55,54.12,9.3
12/04/1982,-10.45,53.98,9.1
12/04/1982,-10.72,53.75,9.9
12/04/1982,-10.52,53.75,10
12/04/1982,-10.77,53.73,10
12/04/1982,-11.25,53.75,10.7
13/04/1982,-12.27,53.73,10.6
13/04/1982,-12.82,53.73,10.3
13/04/1982,-13.32,53.75,10.5
13/04/1982,-13.87,53.48,10.9
13/04/1982,-13.38,53.5,11.1
13/04/1982,-13.8,53.23,10.5
14/04/1982,-13.63,52.75,10.6
14/04/1982,-13.58,53.07,10.8
14/04/1982,-13.58,53.27,10.7
14/04/1982,-13.2,53.23,10.8
14/04/1982,-12.63,53.27,10.7
14/04/1982,-12.2,53.23,10.7
15/04/1982,-11.37,53.45,10.3
15/04/1982,-11.25,53.27,10.4
15/04/1982,-10.75,53.25,9.6
15/04/1982,-10.73,53.42,9.5
15/04/1982,-10.55,53.37,9.4
15/04/1982,-10.22,53.25,9.7
15/04/1982,-10.55,53.15,9.3
16/04/1982,-11.43,53,10.5
16/04/1982,-11.73,52.75,10.8
16/04/1982,-11.25,52.75,10.4
16/04/1982,-11.27,52.55,11.3
16/04/1982,-11.58,52.38,11.5
16/04/1982,-12.38,52.73,11.5
16/04/1982,-12.75,52.75,11.1
17/04/1982,-10.8,52.97,10.2
17/04/1982,-10.7,52.7,10.3
17/04/1982,-10.23,52.73,10.6
17/04/1982,-9.95,52.87,10.3
17/04/1982,-10.25,52.75,10.1
18/04/1982,-10.47,52.52,10.3
21/04/1982,-10.2,50.15,12
22/04/1982,-10.85,49.2,12.71
23/04/1982,-9.03,49.57,11.36
24/04/1982,-8.83,50.73,11.26
25/04/1982,-7.82,51.45,10.98
18/07/1986,-11.25,49.25,15.992
18/07/1986,-10.72,49.25,16.288
18/07/1986,-10.23,49.27,16.178
19/07/1986,-9.23,49.25,16.442
20/07/1986,-10.85,49.07,16.21
20/07/1986,-10.49,49.37,16.452
20/07/1986,-10.81,49.56,16.022
20/07/1986,-10.82,49.71,16.198
20/07/1986,-11.24,49.75,15.962
20/07/1986,-10.73,49.76,16.22
20/07/1986,-10.26,49.75,16.228
21/07/1986,-9.73,49.78,16.46
21/07/1986,-9.82,49.97,16.35
21/07/1986,-10.36,50.15,16.06
21/07/1986,-10.73,50.37,15.81
21/07/1986,-10.34,50.39,16.086
21/07/1986,-10.24,50.25,16.21
21/07/1986,-10.75,50.21,15.874
21/07/1986,-11.25,50.24,15.984
22/07/1986,-11.21,50.76,15.394
22/07/1986,-10.74,50.75,15.736
22/07/1986,-11,51.05,15.194
22/07/1986,-11.18,51.34,15.176
22/07/1986,-11.12,51.56,15.178
22/07/1986,-10.68,51.44,14.694
22/07/1986,-10.25,51.19,15
22/07/1986,-10.74,51.24,15.432
22/07/1986,-11.27,51.23,15.12
22/07/1986,-11.25,51.74,15.064
23/07/1986,-11.07,51.77,15.196
23/07/1986,-11.34,52.01,14.888
23/07/1986,-11.1,52.06,14.848
23/07/1986,-11.54,52.25,14.898
23/07/1986,-10.86,52.41,14.764
24/07/1986,-10.54,52.62,14.772
24/07/1986,-10.24,52.81,14.7
24/07/1986,-10.51,52.9,14.558
24/07/1986,-11.17,52.99,14.284
24/07/1986,-11.62,52.87,14.464
25/07/1986,-13.87,53,13.964
25/07/1986,-13.64,53.24,13.734
25/07/1986,-13.77,53.49,13.576
25/07/1986,-13.34,53.42,13.688
25/07/1986,-13.24,53.57,13.488
26/07/1986,-11.34,53.62,13.632
26/07/1986,-10.87,53.77,13.868
26/07/1986,-10.62,54.05,13.694
26/07/1986,-10.44,54.37,13.608
26/07/1986,-10.44,54.68,13.262
27/07/1986,-9.87,54.54,13.304
27/07/1986,-9.34,54.61,13.384
27/07/1986,-9.62,54.75,13.252
27/07/1986,-10.14,54.96,12.97
27/07/1986,-9.72,55.32,13.034
28/07/1986,-8.61,55.26,13.314
28/07/1986,-8.34,55.42,13.22
28/07/1986,-7.92,55.48,13.7
28/07/1986,-7.14,55.65,12.372
29/07/1986,-7.37,55.86,12.942
29/07/1986,-8.09,55.9,13.068
29/07/1986,-8.69,55.79,13.206
29/07/1986,-8.98,55.89,13.406
25/02/1991,-9.76,55.36,9.53
25/02/1991,-9.4,55.37,9.48
25/02/1991,-8.85,55.28,8.98
25/02/1991,-9.72,54.93,9.22
26/02/1991,-10.52,54.62,9.57
26/02/1991,-10.37,54.48,9.71
26/02/1991,-10.46,54.3,9.67
26/02/1991,-10.63,54.06,9.8
26/02/1991,-10.97,53.95,9.92
26/02/1991,-10.97,53.81,9.87
27/02/1991,-11.76,53.41,10
27/02/1991,-11.73,53.28,10.03
27/02/1991,-11.68,52.96,9.9
27/02/1991,-11.81,52.67,10.21
27/02/1991,-11.85,52.56,10.1
27/02/1991,-11.83,52.43,10.26
28/02/1991,-11.49,52.04,10.25
28/02/1991,-11.34,51.98,10.28
28/02/1991,-11.01,51.92,10.06
28/02/1991,-10.86,51.93,9.72
28/02/1991,-10.97,51.73,10.25
28/02/1991,-11.2,51.54,10.39
01/03/1991,-11.48,51.43,10.38
01/03/1991,-11.25,50.86,10.52
01/03/1991,-11.15,50.85,10.48
01/03/1991,-11.01,50.68,10.52
01/03/1991,-10.88,50.67,10.51
01/03/1991,-10.86,50.39,10.54
01/03/1991,-10.92,50.35,10.6
02/03/1991,-11.3,49.54,10.9
02/03/1991,-11.26,49.54,10.89
02/03/1991,-11.19,49.55,10.83
02/03/1991,-11.18,49.28,10.68
02/03/1991,-10.75,49.23,10.7
02/03/1991,-10.3,49.45,10
03/03/1991,-11.21,49.05,11.07
03/03/1991,-11.19,49.14,10.7
03/03/1991,-11.03,49.04,10.77
21/02/1992,-6.1,53.46,6.9
21/02/1992,-6.08,53.48,7.6
21/02/1992,-6.08,53.49,7.7
21/02/1992,-6.07,53.5,7.7
21/02/1992,-6.06,53.52,7.6
21/02/1992,-6.06,53.56,7.2
21/02/1992,-6.07,53.6,7.4
21/02/1992,-6.17,53.67,7.2
21/02/1992,-6.2,53.69,7
21/02/1992,-6.21,53.7,6.9
21/02/1992,-6.22,53.72,7.2
21/02/1992,-6.22,53.73,7.2
21/02/1992,-6.22,53.73,7.2
21/02/1992,-6.22,53.75,7.4
21/02/1992,-6.21,53.77,7.2
21/02/1992,-6.2,53.8,7.5
21/02/1992,-6.19,53.85,7.5
21/02/1992,-6.18,53.9,7.4
21/02/1992,-6.22,53.92,6.8
21/02/1992,-6.25,53.94,6.8
21/02/1992,-6.28,53.96,6.2
21/02/1992,-6.28,53.97,6.6
21/02/1992,-6.24,53.94,6.8
21/02/1992,-6.17,53.89,7.4
21/02/1992,-6.16,53.87,7.4
21/02/1992,-6.13,53.83,8
21/02/1992,-6.11,53.78,7.7
21/02/1992,-6.09,53.75,8.4
