Date,Longitude [degrees_east],Latitude [degrees_north],Temperature [degC]
1982-11-04,-9.5,54.67,8.6
1982-11-04,-9.82,54.55,9.3
1982-11-04,-10.32,54.5,9.1
1982-11-04,-10.18,54.37,9.3
1982-11-04,-10.4,54.27,9.3
1982-11-04,-10.78,54.25,10.0
1982-11-04,-11.2,54.23,10.0
1982-12-04,-11.17,53.67,10.1
1982-12-04,-10.95,53.87,10.1
1982-12-04,-10.55,54.12,9.3
1982-12-04,-10.45,53.98,9.1
1982-12-04,-10.72,53.75,9.9
1982-12-04,-10.52,53.75,10.0
1982-12-04,-10.77,53.73,10.0
1982-12-04,-11.25,53.75,10.7
1982-04-13,-12.27,53.73,10.6
1982-04-13,-12.82,53.73,10.3
1982-04-13,-13.32,53.75,10.5
1982-04-13,-13.87,53.48,10.9
1982-04-13,-13.38,53.5,11.1
1982-04-13,-13.8,53.23,10.5
1982-04-14,-13.63,52.75,10.6
1982-04-14,-13.58,53.07,10.8
1982-04-14,-13.58,53.27,10.7
1982-04-14,-13.2,53.23,10.8
1982-04-14,-12.63,53.27,10.7
1982-04-14,-12.2,53.23,10.7
1982-04-15,-11.37,53.45,10.3
1982-04-15,-11.25,53.27,10.4
1982-04-15,-10.75,53.25,9.6
1982-04-15,-10.73,53.42,9.5
1982-04-15,-10.55,53.37,9.4
1982-04-15,-10.22,53.25,9.7
1982-04-15,-10.55,53.15,9.3
1982-04-16,-11.43,53.0,10.5
1982-04-16,-11.73,52.75,10.8
1982-04-16,-11.25,52.75,10.4
1982-04-16,-11.27,52.55,11.3
1982-04-16,-11.58,52.38,11.5
1982-04-16,-12.38,52.73,11.5
1982-04-16,-12.75,52.75,11.1
1982-04-17,-10.8,52.97,10.2
1982-04-17,-10.7,52.7,10.3
1982-04-17,-10.23,52.73,10.6
1982-04-17,-9.95,52.87,10.3
1982-04-17,-10.25,52.75,10.1
1982-04-18,-10.47,52.52,10.3
1982-04-21,-10.2,50.15,12.0
1982-04-22,-10.85,49.2,12.71
1982-04-23,-9.03,49.57,11.36
1982-04-24,-8.83,50.73,11.26
1982-04-25,-7.82,51.45,10.98
1982-04-26,-5.97,50.97,10.8
1986-07-18,-11.25,49.25,15.992
1986-07-18,-10.7197,49.251,16.288
1986-07-18,-10.2333,49.2687,16.178
1986-07-19,-9.2333,49.251,16.442
1986-07-20,-10.851,49.0667,16.21
1986-07-20,-10.4923,49.3717,16.452
1986-07-20,-10.807,49.558,16.022
1986-07-20,-10.8237,49.709,16.198
1986-07-20,-11.2413,49.75,15.962
1986-07-20,-10.7333,49.755,16.22
1986-07-20,-10.255,49.75,16.228
1986-07-21,-9.7317,49.7767,16.46
1986-07-21,-9.817,49.9677,16.35
1986-07-21,-10.355,50.154,16.06
1986-07-21,-10.7343,50.3717,15.81
1986-07-21,-10.3393,50.3883,16.086
1986-07-21,-10.2417,50.2517,16.21
1986-07-21,-10.752,50.208,15.874
1986-07-21,-11.253,50.2423,15.984
1986-07-22,-11.208,50.758,15.394
1986-07-22,-10.7423,50.752,15.736
1986-07-22,-11.004,51.051,15.194
1986-07-22,-11.1837,51.3423,15.176
1986-07-22,-11.1167,51.559,15.178
1986-07-22,-10.6833,51.4413,14.694
1986-07-22,-10.25,51.1913,15.0
1986-07-22,-10.7383,51.2423,15.432
1986-07-22,-11.2697,51.2343,15.12
1986-07-22,-11.251,51.7413,15.064
1986-07-23,-11.0707,51.7707,15.196
1986-07-23,-11.3373,52.006,14.888
1986-07-23,-11.105,52.059,14.848
1986-07-23,-11.5413,52.25,14.898
1986-07-23,-10.859,52.409,14.764
1986-07-24,-10.5363,52.6217,14.772
1986-07-24,-10.24,52.807,14.7
1986-07-24,-10.5083,52.905,14.558
1986-07-24,-11.1727,52.9913,14.284
1986-07-24,-11.625,52.8727,14.464
1986-07-25,-13.8727,53.005,13.964
1986-07-25,-13.6363,53.2373,13.734
1986-07-25,-13.7737,53.4883,13.576
1986-07-25,-13.3357,53.4247,13.688
1986-07-25,-13.24,53.571,13.488
1986-07-26,-11.3383,53.6222,13.632
1986-07-26,-10.8727,53.7667,13.868
1986-07-26,-10.6187,54.051,13.694
1986-07-26,-10.4413,54.3687,13.608
1986-07-26,-10.4373,54.6838,13.262
1986-07-27,-9.8707,54.5388,13.304
1986-07-27,-9.3395,54.6095,13.384
1986-07-27,-9.6247,54.752,13.252
1986-07-27,-10.1363,54.955,12.97
1986-07-27,-9.7197,55.3167,13.034
1986-07-28,-8.612,55.2575,13.314
1986-07-28,-8.3423,55.4207,13.22
1986-07-28,-7.9167,55.4757,13.7
1986-07-28,-7.136,55.651,12.372
1986-07-29,-7.3707,55.855,12.942
1986-07-29,-8.0883,55.904,13.068
1986-07-29,-8.6883,55.7875,13.206
1986-07-29,-8.9758,55.8928,13.406
1991-02-25,-9.7567,55.36,9.53
1991-02-25,-9.4033,55.3683,9.48
1991-02-25,-8.8517,55.2833,8.98
1991-02-25,-9.715,54.9317,9.22
1991-02-26,-10.5217,54.62,9.57
1991-02-26,-10.37,54.4817,9.71
1991-02-26,-10.4617,54.295,9.67
1991-02-26,-10.6283,54.0617,9.8
1991-02-26,-10.9733,53.9517,9.92
1991-02-26,-10.9733,53.81,9.87
1991-02-27,-11.76,53.4067,10.0
1991-02-27,-11.73,53.2833,10.03
1991-02-27,-11.675,52.955,9.9
1991-02-27,-11.8067,52.6717,10.21
1991-02-27,-11.8517,52.555,10.1
1991-02-27,-11.8333,52.4333,10.26
1991-02-28,-11.4917,52.0383,10.25
1991-02-28,-11.3383,51.9833,10.28
1991-02-28,-11.0067,51.925,10.06
1991-02-28,-10.865,51.9267,9.72
1991-02-28,-10.9717,51.7283,10.25
1991-02-28,-11.1967,51.54,10.39
1991-01-03,-11.48,51.4333,10.38
1991-01-03,-11.2483,50.865,10.52
1991-01-03,-11.1533,50.8533,10.48
1991-01-03,-11.0067,50.685,10.52
1991-01-03,-10.8783,50.6667,10.51
1991-01-03,-10.8633,50.3917,10.54
1991-01-03,-10.9217,50.3518,10.6
1991-02-03,-11.3,49.54,10.9
1991-02-03,-11.2617,49.5383,10.89
1991-02-03,-11.1933,49.5467,10.83
1991-02-03,-11.1833,49.2783,10.68
1991-02-03,-10.7517,49.2333,10.7
1991-02-03,-10.3,49.4467,10.0
