Date,Lat,Lon,sst
04/11/1982,54.67,-9.5,8.6
04/11/1982,54.55,-9.82,9.3
04/11/1982,54.5,-10.32,9.1
04/11/1982,54.37,-10.18,9.3
04/11/1982,54.27,-10.4,9.3
04/11/1982,54.25,-10.78,10
04/11/1982,54.23,-11.2,10
04/12/1982,53.67,-11.17,10.1
04/12/1982,53.87,-10.95,10.1
04/12/1982,54.12,-10.55,9.3
04/12/1982,53.98,-10.45,9.1
04/12/1982,53.75,-10.72,9.9
04/12/1982,53.75,-10.52,10
04/12/1982,53.73,-10.77,10
04/12/1982,53.75,-11.25,10.7
13/04/1982,53.73,-12.27,10.6
13/04/1982,53.73,-12.82,10.3
13/04/1982,53.75,-13.32,10.5
13/04/1982,53.48,-13.87,10.9
13/04/1982,53.5,-13.38,11.1
13/04/1982,53.23,-13.8,10.5
14/04/1982,52.75,-13.63,10.6
14/04/1982,53.07,-13.58,10.8
14/04/1982,53.27,-13.58,10.7
14/04/1982,53.23,-13.2,10.8
14/04/1982,53.27,-12.63,10.7
14/04/1982,53.23,-12.2,10.7
15/04/1982,53.45,-11.37,10.3
15/04/1982,53.27,-11.25,10.4
15/04/1982,53.25,-10.75,9.6
15/04/1982,53.42,-10.73,9.5
15/04/1982,53.37,-10.55,9.4
15/04/1982,53.25,-10.22,9.7
15/04/1982,53.15,-10.55,9.3
16/04/1982,53,-11.43,10.5
16/04/1982,52.75,-11.73,10.8
16/04/1982,52.75,-11.25,10.4
16/04/1982,52.55,-11.27,11.3
16/04/1982,52.38,-11.58,11.5
16/04/1982,52.73,-12.38,11.5
16/04/1982,52.75,-12.75,11.1
17/04/1982,52.97,-10.8,10.2
17/04/1982,52.7,-10.7,10.3
17/04/1982,52.73,-10.23,10.6
17/04/1982,52.87,-9.95,10.3
17/04/1982,52.75,-10.25,10.1
18/04/1982,52.52,-10.47,10.3
21/04/1982,50.15,-10.2,12
22/04/1982,49.2,-10.85,12.71
23/04/1982,49.57,-9.03,11.36
24/04/1982,50.73,-8.83,11.26
25/04/1982,51.45,-7.82,10.98
18/07/1986,49.25,-11.25,15.992
18/07/1986,49.251,-10.7197,16.288
18/07/1986,49.2687,-10.2333,16.178
19/07/1986,49.251,-9.2333,16.442
20/07/1986,49.0667,-10.851,16.21
20/07/1986,49.3717,-10.4923,16.452
20/07/1986,49.558,-10.807,16.022
20/07/1986,49.709,-10.8237,16.198
20/07/1986,49.75,-11.2413,15.962
20/07/1986,49.755,-10.7333,16.22
20/07/1986,49.75,-10.255,16.228
21/07/1986,49.7767,-9.7317,16.46
21/07/1986,49.9677,-9.817,16.35
21/07/1986,50.154,-10.355,16.06
21/07/1986,50.3717,-10.7343,15.81
21/07/1986,50.3883,-10.3393,16.086
21/07/1986,50.2517,-10.2417,16.21
21/07/1986,50.208,-10.752,15.874
21/07/1986,50.2423,-11.253,15.984
22/07/1986,50.758,-11.208,15.394
22/07/1986,50.752,-10.7423,15.736
22/07/1986,51.051,-11.004,15.194
22/07/1986,51.3423,-11.1837,15.176
